geohash_5,NAVSTAT,freq,rnk
qruj0,15.0,2,1
qrujh,15.0,1,1
qrusg,15.0,1,1
qrute,15.0,1,1
qruxj,15.0,1,1
t2jbh,0.0,1,1
t2jbj,0.0,1,1
t2n08,0.0,1,1
t2n0d,0.0,1,1
t2n1j,0.0,1,1
t2n32,0.0,1,1
t2n33,0.0,1,1
t2n3v,0.0,1,1
t2n3y,0.0,1,1
t2nd0,0.0,1,1
t2nds,0.0,1,1
t2ndw,0.0,1,1
t2ndx,0.0,1,1
t2ng1,0.0,1,1
t2ng5,0.0,1,1
t2ngm,0.0,1,1
t2ngx,0.0,1,1
t2p5g,0.0,1,1
t2phm,0.0,1,1
t2phq,0.0,1,1
t2pkf,0.0,1,1
t2pkg,0.0,1,1
t2pmj,0.0,1,1
t2pte,0.0,2,1
t2pts,0.0,1,1
t2py3,0.0,2,1
t2pyt,0.0,1,1
t2pyz,0.0,1,1
t3urg,0.0,1,1
t3ux9,0.0,1,1
t3uxk,0.0,1,1
t3uxp,0.0,1,1
t3uxy,0.0,1,1
t3uys,0.0,1,1
t3uze,0.0,1,1
t3vgw,0.0,1,1
t3vm6,0.0,1,1
t3vm8,0.0,1,1
t3vmk,0.0,1,1
t3vn2,0.0,1,1
t3vnf,0.0,1,1
t3vns,0.0,1,1
t3vnz,0.0,1,1
t3vp4,0.0,1,1
t3vph,0.0,1,1
t3vq2,0.0,1,1
t3vq5,0.0,1,1
t3vq7,0.0,1,1
t3vsd,0.0,1,1
t3vsr,0.0,1,1
t3vt8,0.0,1,1
t3vtc,0.0,1,1
t3vtj,0.0,1,1
t3vtt,0.0,1,1
t3vu1,0.0,1,1
t3vuc,0.0,1,1
t3vus,0.0,1,1
t3vuy,0.0,1,1
t3vv5,0.0,1,1
t3vwy,0.0,1,1
t3vx3,0.0,1,1
t3vx5,0.0,1,1
t3vyk,0.0,1,1
t3vzs,0.0,1,1
t3xry,0.0,1,1
t3xrz,0.0,1,1
t3xx6,0.0,1,1
t3xxd,0.0,1,1
t3xxn,0.0,1,1
t3xyb,0.0,1,1
t3xye,0.0,1,1
t3xyg,0.0,1,1
t3xyr,0.0,2,1
t3xze,0.0,1,1
t3xzq,0.0,1,1
t3y56,0.0,1,1
t3y5n,0.0,1,1
t3y5u,0.0,1,1
t3y6z,0.0,1,1
t3y72,0.0,1,1
t3y7y,0.0,1,1
t3ycf,0.0,1,1
t3ycj,0.0,1,1
t3ycq,0.0,1,1
t3yd4,0.0,1,1
t3ydk,0.0,1,1
t3ydn,0.0,1,1
t3yek,0.0,1,1
t3yep,0.0,1,1
t3yeu,0.0,1,1
